鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
泰山區,土地,泰山段三小段342-3地號,12.9,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1605569,124463,,0.0,0,,UPPQMLOJLHHGFBF97DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段342-4地號,0.18,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20580,0,,0.0,0,,VPPQMLOJLHHGFBF08DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段343地號,84.94,都市：其他:鄰里公園兼兒童遊樂場,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10581110,124572,,0.0,0,,WPPQMLOJLHHGFBF18DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段343-1地號,65.88,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8205395,124551,,0.0,0,,XPPQMLOJLHHGFBF28DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段343-3地號,23.68,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2947528,124473,,0.0,0,,YPPQMLOJLHHGFBF38DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段343-7地號,0.33,都市：其他:鄰里公園兼兒童遊樂場,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41102,0,,0.0,0,,ZPPQMLOJLHHGFBF48DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段441地號,183.83,,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22895829,124549,,0.0,0,,QQPQMLOJLHHGFBF67DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段441-5地號,107.04,,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13331480,124547,,0.0,0,,RQPQMLOJLHHGFBF77DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段442地號,0.88,都市：其他:道路用地,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,111168,0,,0.0,0,,SQPQMLOJLHHGFBF87DA,0.0,0.0,0.0,無,0015
泰山區,土地,泰山段三小段442-3地號,17.43,,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2169347,124461,,0.0,0,,TQPQMLOJLHHGFBF97DA,0.0,0.0,0.0,無,
泰山區,土地,泰山段三小段442-4地號,1.11,,,,1101210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,139990,126117,,0.0,0,,UQPQMLOJLHHGFBF08DA,0.0,0.0,0.0,無,
